imported_at,source_path,source_size,source_mtime,dest_path
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\18a2fe52-f171-4e29-b1b0-5b82d84cd672\discovery_report.md,4441,2026-01-16T03:56:15,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\release\reports\_runs\TP-READ-001-001.md | C:\Users\zizo5\.gemini\antigravity\brain\18a2fe52-f171-4e29-b1b0-5b82d84cd672\discovery_report.md|4441|639041325758015428
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\18a2fe52-f171-4e29-b1b0-5b82d84cd672\discovery_report.md.resolved,4698,2026-01-16T03:56:15,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\release\reports\_runs\TP-READ-001-002.md | C:\Users\zizo5\.gemini\antigravity\brain\18a2fe52-f171-4e29-b1b0-5b82d84cd672\discovery_report.md.resolved|4698|639041325758229932
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\18a2fe52-f171-4e29-b1b0-5b82d84cd672\discovery_report.md.resolved.0,4698,2026-01-16T03:56:15,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\release\reports\_runs\TP-READ-001-003.md | C:\Users\zizo5\.gemini\antigravity\brain\18a2fe52-f171-4e29-b1b0-5b82d84cd672\discovery_report.md.resolved.0|4698|639041325758314903
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\3b8a6721-2456-47f0-9a2a-da387fcffa91\security_report.md,4165,2026-01-16T03:59:31,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\security\reports\_runs\TP-READ-001-001.md | C:\Users\zizo5\.gemini\antigravity\brain\3b8a6721-2456-47f0-9a2a-da387fcffa91\security_report.md|4165|639041327710517838
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\3b8a6721-2456-47f0-9a2a-da387fcffa91\security_report.md.resolved,4436,2026-01-16T03:59:31,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\security\reports\_runs\TP-READ-001-002.md | C:\Users\zizo5\.gemini\antigravity\brain\3b8a6721-2456-47f0-9a2a-da387fcffa91\security_report.md.resolved|4436|639041327710705071
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\3b8a6721-2456-47f0-9a2a-da387fcffa91\security_report.md.resolved.0,4436,2026-01-16T03:59:31,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\security\reports\_runs\TP-READ-001-003.md | C:\Users\zizo5\.gemini\antigravity\brain\3b8a6721-2456-47f0-9a2a-da387fcffa91\security_report.md.resolved.0|4436|639041327710756555
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\d06e5597-6003-44c0-93dc-ba3a7910df54\discovery_report.md,5174,2026-01-16T03:58:57,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\release\reports\_runs\TP-READ-001-004.md | C:\Users\zizo5\.gemini\antigravity\brain\d06e5597-6003-44c0-93dc-ba3a7910df54\discovery_report.md|5174|639041327370014237
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\d06e5597-6003-44c0-93dc-ba3a7910df54\discovery_report.md.resolved,5978,2026-01-16T03:58:57,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\release\reports\_runs\TP-READ-001-005.md | C:\Users\zizo5\.gemini\antigravity\brain\d06e5597-6003-44c0-93dc-ba3a7910df54\discovery_report.md.resolved|5978|639041327370178694
2026-01-18T05:43:26,C:\Users\zizo5\.gemini\antigravity\brain\d06e5597-6003-44c0-93dc-ba3a7910df54\discovery_report.md.resolved.0,5978,2026-01-16T03:58:57,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\release\reports\_runs\TP-READ-001-006.md | C:\Users\zizo5\.gemini\antigravity\brain\d06e5597-6003-44c0-93dc-ba3a7910df54\discovery_report.md.resolved.0|5978|639041327370221634
2026-01-18T05:43:38,C:\Users\zizo5\.gemini\antigravity\brain\0caa89e4-3560-4036-a0be-8ed2d05104f9\task.md,817,2026-01-16T17:36:36,D:\ZIAD Alhalwany\TRAVILOPHILIA\TRAVELOPHILIA WEBSITE\_shared\agents\planner\reports\_runs\TP-READ-001-001.md | C:\Users\zizo5\.gemini\antigravity\brain\0caa89e4-3560-4036-a0be-8ed2d05104f9\task.md|817|639041817967974045
